grid_point_id,name,point_type,x_coordinate,y_coordinate,create_time
62,酒店2,住宿,16044.21,10676.19,2021/6/2 22:44
63,招待所2,住宿,11718.14,15019.6,2021/3/29 19:50
64,咖啡馆2,餐饮,16110.31,12137.34,2022/1/2 17:26
65,酒吧2,餐饮,12050.84,11163.59,2021/10/13 4:01
66,茶座2,餐饮,14777.4,8724.16,2020/7/11 7:10
67,公共浴室2,洗浴,11345.44,14809.88,2021/9/21 10:47
68,理发店2,生活,11751.69,10245.52,2022/7/9 2:22
69,美容店2,生活,12671.47,11914.63,2021/12/7 20:29
70,影剧院2,娱乐,12433.56,10651.9,2021/9/5 22:35
71,游艺厅2,娱乐,13897.33,15921.01,2020/10/14 10:40
72,KTV2,娱乐,8954.62,14356.33,2022/7/15 8:03
73,音乐厅2,娱乐,9954.28,13012.17,2020/3/25 12:32
74,网吧2,娱乐,10489.3,9433.72,2020/2/7 10:28
75,桌游室2,娱乐,13446.25,13438.12,2020/12/25 18:32
76,棋牌室2,娱乐,12593.21,15073.88,2022/5/24 21:23
77,体育场馆2,运动,8826.57,11310.82,2021/6/30 22:59
78,游泳场馆2,运动,9257.81,14851.58,2022/4/28 22:58
79,健身场馆2,运动,10049.95,15899.29,2022/1/10 12:39
80,公园2,旅游,14858.63,13214.07,2022/9/6 10:30
81,旅游景点2,旅游,10595.55,9794.08,2022/9/24 10:43
82,图书馆2,文化,16311.66,14524.2,2020/8/14 18:23
83,博物馆2,文化,16144.74,9197.92,2020/3/11 15:21
84,美术馆2,文化,14140.03,11284.73,2020/12/6 19:36
85,展览馆2,文化,9934.12,12437.02,2020/5/4 4:51
86,文化馆2,文化,11640.65,13156.97,2022/3/4 21:39
87,社区活动中心2,娱乐,12542.55,16024.59,2021/11/23 16:54
88,商业综合体2,其他,8977.99,11874.15,2021/6/24 21:14
89,农集贸市场2,购物,8707.85,10696.21,2021/7/24 10:46
90,超市2,购物,12169.55,15537.89,2022/4/9 1:26
91,建筑工地2,工作,12956.63,10423.65,2020/2/27 18:41
92,工厂2,工作,11915.34,10723.07,2022/8/21 3:33
93,烟酒店2,购物,9968.21,14601.67,2020/6/30 20:49
94,水果店2,购物,11510.81,14404.35,2020/5/24 16:07
95,杂货铺2,购物,12930.97,9389.45,2020/11/8 3:35
96,书店2,文化,13970.55,13004.98,2020/5/12 20:53
97,药店2,医疗,12487.0,10276.12,2021/8/26 3:10
98,码头2,交通,10927.3,11705.76,2021/8/15 10:18
99,交通查验点2,交通,14698.5,11427.2,2021/9/9 23:54
100,出租车2,交通,9758.49,11689.95,2022/9/17 14:41
101,公交车2,交通,9906.91,10956.23,2021/7/6 2:22
102,地铁站2,交通,15179.91,12137.15,2022/7/5 16:27
103,公交站2,交通,9792.89,14353.48,2020/10/19 0:15
104,旅游船2,旅游,13983.68,13566.68,2021/2/4 8:17
105,加油站2,交通,14883.43,9991.11,2020/10/13 21:07
106,企事业单位2,办公,13635.18,9318.64,2020/6/16 7:07
107,行政办事大厅2,办公,13139.15,10461.44,2021/10/1 7:33
108,居民小区2,住宅,16331.03,11048.13,2021/1/23 21:56
109,医疗机构2,医疗,14492.88,11042.94,2020/6/29 18:54
110,写字楼2,办公,15907.87,9445.83,2021/4/24 7:44
111,学校2,教育,14147.9,12025.55,2021/4/19 18:17
112,医院2,医疗,9228.98,9785.43,2021/11/7 16:42
113,银行2,银行,15831.63,9164.73,2022/9/24 19:27
114,教育培训机构2,教育,15713.48,14986.03,2020/6/2 5:36
115,邮政2,邮政,11888.35,13421.14,2022/7/28 22:27
116,其他场所2,其他,11060.18,10215.19,2021/4/10 7:56
117,固定核酸采样点2,医疗,14731.63,16480.2,2021/5/30 18:53
118,临时核酸采样点2,医疗,9255.78,13245.46,2020/4/15 10:37
119,宾馆旅店3,住宿,16165.05,16183.44,2021/8/4 19:31
120,餐厅（馆）3,餐饮,15544.56,12315.32,2021/3/31 10:11
121,酒店3,住宿,13917.05,14290.88,2022/6/22 1:47
122,招待所3,住宿,15174.2,14632.3,2020/7/2 14:44
123,咖啡馆3,餐饮,10423.24,15131.4,2022/5/5 17:24
124,酒吧3,餐饮,9919.88,15044.11,2020/3/16 21:00
125,茶座3,餐饮,13177.19,14985.3,2021/11/2 19:17
126,公共浴室3,洗浴,10476.3,14290.66,2021/2/10 4:36
127,理发店3,生活,10957.99,14831.04,2022/9/23 10:28
128,美容店3,生活,8944.78,14537.77,2022/8/31 5:07
129,影剧院3,娱乐,16380.57,9625.34,2020/6/23 17:16
130,游艺厅3,娱乐,14730.11,11580.44,2021/1/23 15:43
131,KTV3,娱乐,14602.07,15273.57,2021/8/24 4:34
132,音乐厅3,娱乐,10999.24,13291.41,2020/7/7 18:40
133,网吧3,娱乐,10505.28,9034.76,2021/5/13 3:40
134,桌游室3,娱乐,8741.5,9978.09,2021/7/4 20:33
135,棋牌室3,娱乐,10117.45,11593.03,2022/8/4 16:48
136,体育场馆3,运动,10757.52,11798.33,2020/12/8 18:08
137,游泳场馆3,运动,10410.45,11314.82,2021/6/5 13:43
138,健身场馆3,运动,9641.43,9623.29,2021/7/5 13:01
139,公园3,旅游,8465.58,11898.69,2020/10/26 22:49
140,旅游景点3,旅游,15458.58,11172.79,2022/7/30 13:53
141,图书馆3,文化,10424.04,13962.11,2021/10/23 2:41
142,博物馆3,文化,13058.27,12886.47,2021/2/21 0:25
143,美术馆3,文化,14531.35,12097.03,2021/11/21 19:25
144,展览馆3,文化,11798.92,14531.1,2022/2/6 20:31
145,文化馆3,文化,9821.75,9463.51,2022/5/28 12:33
146,社区活动中心3,娱乐,10199.96,14432.3,2020/6/4 1:37
147,商业综合体3,其他,9575.78,13278.4,2022/9/2 1:06
148,农集贸市场3,购物,9772.93,14906.19,2020/10/11 2:01
149,超市3,购物,10322.2,9193.24,2022/1/16 0:55
150,建筑工地3,工作,10571.22,12454.04,2020/9/18 7:53
151,工厂3,工作,13692.39,12393.32,2022/5/21 15:41
152,烟酒店3,购物,12685.66,14520.53,2022/3/13 10:58
153,水果店3,购物,14123.29,10037.16,2020/3/22 0:45
154,杂货铺3,购物,9200.68,12553.77,2020/8/27 5:22
155,书店3,文化,12292.29,11043.4,2021/10/13 13:40
156,药店3,医疗,15213.06,14292.46,2021/1/25 4:23
157,码头3,交通,10254.79,13769.14,2022/7/6 15:06
158,交通查验点3,交通,8403.01,12043.57,2022/4/26 0:33
159,出租车3,交通,11493.05,13861.97,2022/3/13 21:29
160,公交车3,交通,9134.7,10250.87,2020/8/7 5:21
161,地铁站3,交通,10372.11,13604.61,2021/2/28 8:58
162,公交站3,交通,8500.92,9492.55,2022/5/19 0:57
163,旅游船3,旅游,14586.15,12409.32,2022/7/18 3:46
164,加油站3,交通,8963.93,9083.42,2020/12/3 21:24
165,企事业单位3,办公,15816.32,9056.25,2020/4/24 5:32
166,行政办事大厅3,办公,12332.26,10994.84,2022/8/21 15:40
167,居民小区3,住宅,13308.25,15707.57,2020/7/10 2:35
168,医疗机构3,医疗,11900.52,9842.97,2020/6/7 13:17
169,写字楼3,办公,9665.36,12416.83,2020/4/11 21:53
170,学校3,教育,15016.94,12783.36,2021/9/5 19:58
171,医院3,医疗,14291.13,9240.23,2021/1/6 5:55
172,银行3,银行,10280.74,12937.54,2020/1/26 5:25
173,教育培训机构3,教育,10451.47,10194.22,2021/7/25 16:49
174,邮政3,邮政,15658.94,13164.64,2021/9/15 11:20
175,其他场所3,其他,15115.34,9491.36,2022/2/15 10:03
176,固定核酸采样点3,医疗,11699.91,11578.64,2022/7/1 6:43
177,临时核酸采样点3,医疗,12319.8,13973.51,2021/9/28 19:05
178,宾馆旅店4,住宿,14308.13,8949.42,2021/10/9 20:06
179,餐厅（馆）4,餐饮,15542.57,14349.47,2021/11/25 22:31
180,酒店4,住宿,13832.42,10512.99,2021/5/13 23:44
181,招待所4,住宿,11303.29,9181.28,2022/8/20 23:56
182,咖啡馆4,餐饮,14557.23,13054.24,2021/2/4 7:20
183,酒吧4,餐饮,10951.71,16450.94,2020/2/2 21:41
184,茶座4,餐饮,11374.2,10912.6,2021/8/25 10:23
185,公共浴室4,洗浴,15838.71,9577.07,2020/9/10 6:18
186,理发店4,生活,11398.57,15848.81,2020/9/6 16:20
187,美容店4,生活,12803.67,10188.17,2021/10/9 23:55
188,影剧院4,娱乐,14732.64,14398.31,2020/1/22 3:27
189,游艺厅4,娱乐,12998.92,9646.95,2021/11/23 23:05
190,KTV4,娱乐,9165.92,8424.41,2021/9/3 18:16
191,音乐厅4,娱乐,10559.84,12757.41,2021/10/19 1:08
192,网吧4,娱乐,11189.03,9521.72,2020/12/22 21:25
193,桌游室4,娱乐,8616.36,10124.25,2021/3/28 8:55
194,棋牌室4,娱乐,8436.21,14808.1,2021/9/20 11:01
195,体育场馆4,运动,9529.33,13671.13,2020/4/7 2:41
196,游泳场馆4,运动,11158.33,9980.48,2020/6/29 17:24
197,健身场馆4,运动,14972.73,14762.43,2021/8/12 19:34
198,公园4,旅游,14866.26,14947.88,2021/6/28 2:12
199,旅游景点4,旅游,10169.88,11660.12,2021/3/13 6:07
200,图书馆4,文化,12471.59,10092.01,2022/5/19 12:43
201,博物馆4,文化,14579.9,10585.14,2020/8/24 2:33
202,美术馆4,文化,8839.47,15193.69,2020/11/29 13:32
203,展览馆4,文化,14417.48,12640.23,2020/7/14 2:23
204,文化馆4,文化,9005.65,16450.58,2021/2/2 19:28
205,社区活动中心4,娱乐,10077.04,9038.36,2021/10/29 3:29
206,商业综合体4,其他,10397.4,9549.36,2021/5/20 3:24
207,农集贸市场4,购物,14219.71,9118.75,2022/8/24 21:41
208,超市4,购物,15135.42,13142.88,2021/4/29 7:35
209,建筑工地4,工作,9468.89,13569.75,2020/7/20 1:47
210,工厂4,工作,15331.41,15070.46,2020/9/25 6:27
211,烟酒店4,购物,15247.84,10315.42,2020/1/28 10:50
212,水果店4,购物,12283.53,11296.86,2022/9/1 13:38
213,杂货铺4,购物,15980.34,15510.12,2021/4/22 2:34
214,书店4,文化,10259.2,14333.0,2021/11/23 4:05
215,药店4,医疗,10212.53,12973.08,2020/1/10 18:23
216,码头4,交通,9092.58,15889.07,2020/12/22 1:39
217,交通查验点4,交通,10302.15,14182.05,2020/6/27 4:43
218,出租车4,交通,13711.31,12798.08,2020/8/4 9:01
219,公交车4,交通,11808.33,14733.07,2021/12/24 3:26
220,地铁站4,交通,15544.66,11685.37,2021/1/21 23:11
221,公交站4,交通,10802.93,16410.65,2022/2/27 20:42
222,旅游船4,旅游,8752.64,11397.4,2020/12/16 19:23
223,加油站4,交通,10811.88,8950.11,2021/6/3 1:45
224,企事业单位4,办公,8453.5,13140.01,2021/9/15 14:08
225,行政办事大厅4,办公,12032.27,11361.5,2020/2/12 3:10
226,居民小区4,住宅,15713.85,12514.7,2020/4/27 8:36
227,医疗机构4,医疗,10108.79,13921.97,2021/8/9 6:07
228,写字楼4,办公,14653.98,11178.12,2020/5/18 4:17
229,学校4,教育,9340.16,14430.73,2020/6/28 20:35
230,医院4,医疗,15707.74,14538.09,2022/4/10 22:13
231,银行4,银行,16474.25,10208.73,2020/12/14 1:36
232,教育培训机构4,教育,14414.17,8386.65,2020/5/31 8:01
233,邮政4,邮政,15887.53,13112.17,2020/9/20 11:52
234,其他场所4,其他,14255.68,15358.25,2021/7/19 14:40
235,固定核酸采样点4,医疗,10482.37,10166.71,2021/10/15 4:18
236,临时核酸采样点4,医疗,11444.74,16288.62,2021/7/10 9:46
237,宾馆旅店5,住宿,10923.09,14516.81,2021/8/21 14:53
238,餐厅（馆）5,餐饮,12748.87,12587.54,2022/4/19 22:49
239,酒店5,住宿,12719.16,11121.98,2022/8/9 0:49
240,招待所5,住宿,12780.94,10625.86,2020/12/25 16:01
241,咖啡馆5,餐饮,10851.33,11169.22,2020/10/30 21:26
242,酒吧5,餐饮,14069.63,12725.09,2021/11/2 14:05
243,茶座5,餐饮,14024.32,15558.63,2021/1/24 6:54
244,公共浴室5,洗浴,12261.95,11725.06,2022/4/25 20:24
245,理发店5,生活,14516.72,15856.3,2022/8/21 12:41
246,美容店5,生活,9397.68,12592.63,2022/3/10 19:19
247,影剧院5,娱乐,10186.67,16446.61,2021/10/31 6:25
248,游艺厅5,娱乐,14282.75,8772.28,2022/1/1 18:01
249,KTV5,娱乐,14229.16,14753.0,2020/10/6 0:33
250,音乐厅5,娱乐,15476.28,14166.36,2022/4/15 7:44
251,网吧5,娱乐,14768.31,8834.23,2021/9/28 20:45
252,桌游室5,娱乐,12243.4,9170.86,2022/1/16 5:44
253,棋牌室5,娱乐,11405.63,14050.36,2020/12/30 10:11
254,体育场馆5,运动,11563.46,11679.63,2020/4/27 5:41
255,游泳场馆5,运动,13382.51,15480.35,2022/9/19 12:53
256,健身场馆5,运动,15420.87,13307.68,2022/6/2 22:53
257,公园5,旅游,16453.03,13010.58,2022/8/7 14:07
258,旅游景点5,旅游,16493.11,12121.61,2022/5/28 2:47
259,图书馆5,文化,10200.27,8351.14,2021/10/30 13:31
260,博物馆5,文化,14238.19,8452.86,2021/4/26 12:09
261,美术馆5,文化,12517.23,13474.24,2021/6/11 3:31
262,展览馆5,文化,8371.05,11706.73,2022/2/26 3:54
263,文化馆5,文化,15910.62,15306.56,2022/3/4 17:33
264,社区活动中心5,娱乐,10256.2,10317.84,2022/4/10 8:38
265,商业综合体5,其他,9423.4,12844.79,2021/1/2 23:34
266,农集贸市场5,购物,8831.13,13890.13,2020/7/17 21:52
267,超市5,购物,13809.64,8551.47,2022/6/21 3:13
268,建筑工地5,工作,9012.7,9646.88,2022/6/26 7:35
269,工厂5,工作,12582.42,9075.03,2020/11/4 4:46
270,烟酒店5,购物,9926.18,11503.98,2022/8/30 5:38
271,水果店5,购物,14043.19,10876.37,2021/1/29 5:48
272,杂货铺5,购物,12384.01,15366.92,2020/5/2 0:38
273,书店5,文化,8738.65,13580.84,2021/11/23 4:40
274,药店5,医疗,8529.01,10439.65,2021/4/8 13:29
275,码头5,交通,12628.3,16262.81,2021/11/24 12:07
276,交通查验点5,交通,14544.12,10920.86,2022/8/27 23:45
277,出租车5,交通,13383.78,10957.01,2021/9/22 11:52
278,公交车5,交通,13768.36,9300.83,2020/9/18 1:46
279,地铁站5,交通,14178.31,14178.43,2021/7/12 7:02
280,公交站5,交通,13746.17,15309.29,2020/6/25 2:41
281,旅游船5,旅游,12762.01,16270.27,2021/10/18 17:43
282,加油站5,交通,15274.73,12452.56,2022/2/14 23:23
283,企事业单位5,办公,16456.77,15686.65,2020/8/21 23:19
284,行政办事大厅5,办公,11401.46,8415.47,2021/1/16 16:36
285,居民小区5,住宅,16441.3,13954.42,2020/7/11 14:27
286,医疗机构5,医疗,14111.29,15341.09,2022/5/20 23:14
287,写字楼5,办公,9734.94,12096.03,2021/10/15 9:48
288,学校5,教育,10680.92,9938.93,2021/8/15 3:12
289,医院5,医疗,12626.0,10582.6,2021/10/24 3:13
290,银行5,银行,14514.67,15059.7,2022/1/10 20:48
291,教育培训机构5,教育,11328.11,8774.25,2020/11/10 11:48
292,邮政5,邮政,10564.03,14462.22,2021/12/12 4:47
293,其他场所5,其他,9585.52,9991.78,2022/7/13 1:30
294,固定核酸采样点5,医疗,13120.72,9485.42,2020/8/30 15:00
295,临时核酸采样点5,医疗,8985.56,15951.78,2021/10/7 21:52
296,宾馆旅店6,住宿,15710.16,14926.28,2021/8/4 13:00
297,餐厅（馆）6,餐饮,12424.37,12634.32,2020/10/7 10:42
298,酒店6,住宿,14200.27,13511.57,2021/9/19 9:53
299,招待所6,住宿,12809.23,8740.14,2022/8/16 13:40
300,咖啡馆6,餐饮,9177.47,12639.07,2022/4/14 18:26
301,酒吧6,餐饮,12618.27,10631.7,2020/2/22 12:45
302,茶座6,餐饮,9779.82,14951.33,2020/5/2 0:12
303,公共浴室6,洗浴,16026.18,15289.85,2020/8/31 14:20
304,理发店6,生活,14314.16,9742.63,2021/2/1 5:49
305,美容店6,生活,10691.57,15205.46,2021/11/4 5:18
306,影剧院6,娱乐,10222.17,12737.07,2020/5/6 20:20
307,游艺厅6,娱乐,15389.65,11163.0,2020/6/7 1:16
308,KTV6,娱乐,13547.25,12663.57,2020/3/29 15:43
309,音乐厅6,娱乐,10910.84,14610.16,2020/5/16 7:54
310,网吧6,娱乐,15242.08,11090.67,2021/8/9 15:35
311,桌游室6,娱乐,13783.94,15195.54,2022/7/16 15:10
312,棋牌室6,娱乐,13393.82,9871.93,2022/2/25 0:42
313,体育场馆6,运动,8369.66,13343.65,2022/1/17 6:44
314,游泳场馆6,运动,10931.81,14489.73,2022/2/3 22:00
315,健身场馆6,运动,9107.89,16024.11,2022/3/20 17:37
316,公园6,旅游,15269.67,9523.44,2022/4/25 15:29
317,旅游景点6,旅游,13289.67,10009.33,2022/3/21 7:56
318,图书馆6,文化,13171.68,11204.63,2021/2/20 12:24
319,博物馆6,文化,14262.18,10452.58,2020/5/28 21:13
320,美术馆6,文化,10270.46,10660.21,2021/5/28 1:04
321,展览馆6,文化,10662.77,15705.67,2021/8/13 11:07
322,文化馆6,文化,14800.58,14681.5,2022/1/2 18:05
323,社区活动中心6,娱乐,14515.25,11033.25,2021/7/31 3:55
324,商业综合体6,其他,10150.36,9844.74,2021/1/31 14:34
325,农集贸市场6,购物,14159.56,11067.85,2022/6/17 13:52
326,超市6,购物,11771.39,11996.18,2020/2/27 18:32
327,建筑工地6,工作,13023.0,10637.7,2020/10/15 11:40
328,工厂6,工作,12623.05,14702.43,2020/5/4 10:20
329,烟酒店6,购物,14629.03,9036.51,2020/3/23 8:06
330,水果店6,购物,14566.46,10903.93,2020/7/28 3:25
331,杂货铺6,购物,13727.13,14042.19,2021/6/6 14:59
332,书店6,文化,11010.3,11397.41,2021/7/23 20:24
333,药店6,医疗,14714.36,15528.68,2020/5/7 22:03
334,码头6,交通,16347.92,10260.14,2021/12/29 16:15
335,交通查验点6,交通,10907.3,10202.88,2022/2/23 2:32
336,出租车6,交通,11562.95,12366.82,2022/1/27 2:34
337,公交车6,交通,15110.05,14335.89,2021/5/17 3:19
338,地铁站6,交通,11568.11,11986.94,2021/1/31 17:31
339,公交站6,交通,13911.86,11545.53,2020/3/7 13:38
340,旅游船6,旅游,13629.34,9088.45,2022/8/21 20:22
341,加油站6,交通,13585.15,12924.35,2020/4/17 18:19
342,企事业单位6,办公,12064.82,13460.61,2020/10/15 8:17
343,行政办事大厅6,办公,13342.41,9494.99,2021/1/8 21:16
344,居民小区6,住宅,13796.22,13256.79,2021/7/17 5:19
345,医疗机构6,医疗,12697.81,14662.36,2021/5/11 11:09
346,写字楼6,办公,15816.57,8845.05,2022/4/10 0:38
347,学校6,教育,15017.0,13319.22,2021/2/12 23:25
348,医院6,医疗,13627.15,11142.49,2020/9/29 1:46
349,银行6,银行,15825.93,11199.79,2022/3/16 4:15
350,教育培训机构6,教育,13932.85,11595.98,2022/3/29 0:27
351,邮政6,邮政,15387.1,13363.01,2021/10/18 17:12
352,其他场所6,其他,10623.31,14510.24,2020/11/10 13:13
353,固定核酸采样点6,医疗,15589.14,15374.81,2022/7/8 11:37
354,临时核酸采样点6,医疗,15504.31,12561.15,2021/2/9 5:25
355,宾馆旅店7,住宿,12133.19,11296.39,2020/12/15 6:21
356,餐厅（馆）7,餐饮,9081.79,8419.96,2022/5/10 9:10
357,酒店7,住宿,11336.85,16472.64,2021/12/13 20:48
358,招待所7,住宿,12887.89,16301.42,2020/4/14 19:02
359,咖啡馆7,餐饮,13264.18,15502.63,2021/6/21 12:44
360,酒吧7,餐饮,14176.37,11886.49,2021/7/3 3:20
361,茶座7,餐饮,10877.66,8611.56,2020/8/8 6:50
362,公共浴室7,洗浴,13751.94,13007.69,2021/11/9 13:34
363,理发店7,生活,16195.44,13830.88,2021/9/3 18:44
364,美容店7,生活,13335.69,10972.63,2021/7/18 19:40
365,影剧院7,娱乐,12374.86,14831.02,2020/2/13 10:17
366,游艺厅7,娱乐,13556.28,12338.85,2020/12/20 12:07
367,KTV7,娱乐,9780.58,9288.51,2020/12/25 19:39
368,音乐厅7,娱乐,14193.97,12890.59,2021/8/13 13:38
369,网吧7,娱乐,11233.22,13156.88,2020/8/7 11:32
370,桌游室7,娱乐,10342.26,12855.47,2022/1/13 5:10
371,棋牌室7,娱乐,11521.96,8648.08,2021/2/18 6:55
372,体育场馆7,运动,12789.13,13286.8,2020/1/21 17:11
373,游泳场馆7,运动,11601.93,13218.86,2021/5/25 3:46
374,健身场馆7,运动,8857.72,8924.49,2022/6/13 19:46
375,公园7,旅游,13634.87,8793.92,2022/7/28 17:32
376,旅游景点7,旅游,10183.38,11185.2,2021/7/20 14:59
377,图书馆7,文化,13968.83,10395.07,2021/2/13 4:24
378,博物馆7,文化,9941.96,14719.82,2022/5/2 7:31
379,美术馆7,文化,13190.47,9333.41,2020/8/3 22:08
380,展览馆7,文化,16381.29,10463.86,2020/1/21 18:38
381,文化馆7,文化,15520.73,9008.71,2021/5/18 20:06
382,社区活动中心7,娱乐,13695.66,11593.78,2020/7/30 2:01
383,商业综合体7,其他,16312.37,14797.9,2022/4/15 0:01
384,农集贸市场7,购物,13020.31,11939.99,2020/6/25 23:17
385,超市7,购物,11045.11,12701.98,2020/10/17 6:42
386,建筑工地7,工作,16060.72,10344.43,2021/2/17 15:31
387,工厂7,工作,12352.02,14208.24,2020/7/30 1:09
388,烟酒店7,购物,9308.73,16438.43,2022/1/4 4:06
389,水果店7,购物,14747.84,10512.03,2020/5/18 11:14
390,杂货铺7,购物,11035.16,12403.9,2020/11/27 13:50
391,书店7,文化,11767.71,15429.99,2022/5/26 8:11
392,药店7,医疗,15986.17,10318.44,2021/5/19 0:24
393,码头7,交通,9262.26,11624.12,2021/4/27 5:31
394,交通查验点7,交通,10747.85,12572.49,2020/5/24 16:55
395,出租车7,交通,13232.34,16143.3,2022/9/20 19:07
396,公交车7,交通,14731.41,10883.98,2021/7/28 4:33
397,地铁站7,交通,13374.4,10626.95,2020/12/2 8:42
398,公交站7,交通,14118.31,14773.76,2021/2/10 15:10
399,旅游船7,旅游,9994.88,13302.36,2022/9/11 4:47
400,加油站7,交通,8592.82,12752.28,2020/7/5 5:12
401,企事业单位7,办公,11739.45,9595.12,2021/1/5 14:27
402,行政办事大厅7,办公,9676.4,16005.5,2020/6/9 6:32
403,居民小区7,住宅,15120.59,14409.61,2021/4/6 22:11
404,医疗机构7,医疗,10816.16,10405.93,2020/10/31 3:09
405,写字楼7,办公,11464.38,11423.68,2021/10/30 1:17
406,学校7,教育,8467.04,11461.52,2022/7/25 0:27
407,医院7,医疗,11884.84,13929.5,2021/11/15 15:25
408,银行7,银行,8744.86,11353.28,2020/7/31 11:37
409,教育培训机构7,教育,9581.83,12939.9,2021/10/17 2:28
410,邮政7,邮政,13314.82,8599.48,2020/8/8 9:43
411,其他场所7,其他,12695.76,12266.94,2022/1/12 0:00
412,固定核酸采样点7,医疗,12817.75,11372.27,2021/2/23 7:30
413,临时核酸采样点7,医疗,14040.19,10017.19,2022/4/21 15:31
414,宾馆旅店8,住宿,10023.59,13479.51,2022/5/9 4:31
415,餐厅（馆）8,餐饮,10570.53,16185.41,2020/10/29 1:28
416,酒店8,住宿,15439.32,9262.67,2022/2/16 13:19
417,招待所8,住宿,16334.9,10616.11,2020/2/17 8:57
418,咖啡馆8,餐饮,9036.06,9748.74,2021/12/1 16:42
419,酒吧8,餐饮,14690.42,8439.69,2021/12/10 14:42
420,茶座8,餐饮,10497.34,16281.69,2021/3/15 15:14
421,公共浴室8,洗浴,9505.93,10927.6,2022/2/22 16:05
422,理发店8,生活,11228.31,15846.78,2020/6/17 3:04
423,美容店8,生活,11109.49,12948.27,2020/3/19 13:07
