序号,次密接者ID,次密接日期,次密接场所ID,密接者ID
116,55541,2022-11-07 13:37:56,34,40662
117,49185,2022-11-07 13:54:56,34,40662
118,76999,2022-11-07 12:57:56,34,40662
119,39964,2022-11-07 13:39:56,34,40662
120,55256,2022-11-07 15:48:03,2782,33367
121,48684,2022-11-07 14:58:03,2782,33367
122,60268,2022-11-07 15:25:03,2782,33367
123,31770,2022-11-07 15:00:03,2782,33367
124,19016,2022-11-07 15:20:03,2782,33367
125,32079,2022-11-07 15:52:03,2782,33367
126,98983,2022-11-07 17:38:06,404,66173
127,17971,2022-11-07 17:39:06,404,66173
128,75358,2022-11-07 17:28:06,404,66173
129,48544,2022-11-07 17:49:06,404,66173
130,48891,2022-11-07 17:32:06,404,66173
131,44772,2022-11-07 17:44:06,404,66173
132,14706,2022-11-07 17:17:06,404,66173
133,16485,2022-11-07 18:07:06,404,66173
134,53391,2022-11-08 09:26:52,1089,48489
135,74829,2022-11-08 09:24:52,1089,48489
136,28688,2022-11-08 09:05:52,1089,48489
137,97420,2022-11-08 09:06:52,1089,48489
138,69451,2022-11-08 09:53:52,1089,48489
139,60873,2022-11-08 09:32:52,1089,48489
140,75671,2022-11-08 08:59:52,1089,48489
141,18794,2022-11-08 09:11:52,1089,48489
142,33812,2022-11-08 07:39:20,355,14490
143,61010,2022-11-08 07:08:20,355,14490
144,92850,2022-11-08 07:44:20,355,14490
145,92193,2022-11-08 07:24:20,355,14490
146,67334,2022-11-08 07:03:20,355,14490
147,77654,2022-11-08 07:22:20,355,14490
148,97012,2022-11-08 07:39:20,355,14490
149,96543,2022-11-08 07:30:20,355,14490
150,23933,2022-11-07 20:58:56,651,27810
151,91527,2022-11-07 20:15:56,651,27810
152,30992,2022-11-07 21:13:56,651,27810
153,54402,2022-11-07 20:15:56,651,27810
154,61185,2022-11-07 20:24:56,651,27810
155,66927,2022-11-07 20:19:56,651,27810
156,98462,2022-11-07 20:49:56,651,27810
157,36248,2022-11-07 21:00:56,651,27810
158,13641,2022-11-07 20:31:56,651,27810
159,89746,2022-11-08 21:06:51,1318,53042
160,99836,2022-11-08 21:29:51,1318,53042
161,23277,2022-11-08 21:20:51,1318,53042
162,55309,2022-11-08 21:21:51,1318,53042
163,36317,2022-11-08 21:29:51,1318,53042
164,58344,2022-11-08 20:46:51,1318,53042
165,94004,2022-11-08 21:13:51,1318,53042
166,53214,2022-11-08 21:33:51,1318,53042
167,90155,2022-11-08 20:57:51,1318,53042
168,63819,2022-11-08 10:58:57,558,82588
169,54089,2022-11-08 11:04:57,558,82588
170,99153,2022-11-08 11:10:57,558,82588
171,97158,2022-11-08 10:42:57,558,82588
172,23188,2022-11-08 11:15:57,558,82588
173,97102,2022-11-08 10:52:57,558,82588
174,59890,2022-11-08 11:28:57,558,82588
175,6099,2022-11-08 11:28:57,558,82588
176,29303,2022-11-07 21:09:43,1366,70822
177,58701,2022-11-07 21:50:43,1366,70822
178,51400,2022-11-07 21:10:43,1366,70822
179,26744,2022-11-07 22:08:43,1366,70822
180,4972,2022-11-07 21:56:43,1366,70822
181,48399,2022-11-07 21:26:43,1366,70822
182,24732,2022-11-07 21:56:43,1366,70822
183,27368,2022-11-07 21:55:43,1366,70822
184,18982,2022-11-07 21:09:43,1366,70822
185,86501,2022-11-07 13:59:29,1836,30970
186,42934,2022-11-07 13:45:29,1836,30970
187,7234,2022-11-07 13:38:29,1836,30970
188,23258,2022-11-07 13:52:29,1836,30970
189,8132,2022-11-07 13:53:29,1836,30970
190,87425,2022-11-07 14:07:29,1836,30970
191,78025,2022-11-07 13:29:29,1836,30970
192,75216,2022-11-01 07:52:02,669,51163
193,72844,2022-11-01 08:23:02,669,51163
194,85921,2022-11-01 08:03:02,669,51163
195,87729,2022-11-01 07:46:02,669,51163
196,46030,2022-11-01 08:38:02,669,51163
197,54915,2022-11-01 07:51:02,669,51163
198,20388,2022-11-01 07:39:02,669,51163
199,25130,2022-11-01 15:02:52,1138,35911
200,16685,2022-11-01 15:09:52,1138,35911
201,61414,2022-11-01 15:10:52,1138,35911
202,13298,2022-11-01 15:09:52,1138,35911
203,6215,2022-11-01 15:25:52,1138,35911
204,62074,2022-11-01 15:31:52,1138,35911
205,65368,2022-11-01 15:41:52,1138,35911
206,34490,2022-11-01 14:57:52,1138,35911
207,59275,2022-11-01 14:58:52,1138,35911
208,58782,2022-10-31 20:51:32,1184,33877
209,77732,2022-10-31 20:46:32,1184,33877
210,16190,2022-10-31 20:43:32,1184,33877
211,76133,2022-10-31 21:06:32,1184,33877
212,28638,2022-10-31 21:22:32,1184,33877
213,12126,2022-10-31 20:51:32,1184,33877
214,33136,2022-10-31 21:06:32,1184,33877
215,15806,2022-11-02 09:47:59,1054,29314
216,56751,2022-11-02 10:02:59,1054,29314
217,16284,2022-11-02 10:10:59,1054,29314
218,13363,2022-11-02 09:40:59,1054,29314
219,31333,2022-11-02 09:59:59,1054,29314
220,2819,2022-11-02 10:17:59,1054,29314
221,88908,2022-11-02 10:11:59,1054,29314
222,98884,2022-11-02 09:35:59,1054,29314
223,11922,2022-11-01 22:22:08,1585,53447
224,15873,2022-11-01 22:44:08,1585,53447
225,72254,2022-11-01 22:34:08,1585,53447
226,16354,2022-11-01 22:08:08,1585,53447
227,93424,2022-11-01 22:58:08,1585,53447
228,39887,2022-11-01 22:07:08,1585,53447
229,34003,2022-11-01 22:15:08,1585,53447
230,65830,2022-11-01 22:07:08,1585,53447
231,72072,2022-11-02 07:44:47,1676,95099
232,61407,2022-11-02 07:12:47,1676,95099
233,32075,2022-11-02 07:09:47,1676,95099
234,88177,2022-11-02 06:57:47,1676,95099
235,58474,2022-11-02 07:30:47,1676,95099
236,77053,2022-11-02 07:41:47,1676,95099
237,83259,2022-11-02 07:13:47,1676,95099
238,98278,2022-11-02 07:26:47,1676,95099
239,70615,2022-11-02 07:33:47,1676,95099
240,40541,2022-10-31 16:08:05,15,55308
241,71886,2022-10-31 16:03:05,15,55308
242,65397,2022-10-31 16:18:05,15,55308
243,50209,2022-10-31 16:01:05,15,55308
244,97487,2022-10-31 16:31:05,15,55308
245,29378,2022-10-31 16:29:05,15,55308
246,49060,2022-10-31 16:25:05,15,55308
247,4241,2022-10-31 15:50:05,15,55308
248,18424,2022-10-31 16:46:05,15,55308
249,72530,2022-11-02 20:44:17,1280,91734
250,59507,2022-11-02 20:12:17,1280,91734
251,1007,2022-11-02 20:45:17,1280,91734
252,23927,2022-11-02 20:08:17,1280,91734
253,19039,2022-11-02 20:27:17,1280,91734
254,69272,2022-11-02 20:53:17,1280,91734
255,13442,2022-11-02 20:58:17,1280,91734
256,34704,2022-11-02 20:03:17,1280,91734
257,85002,2022-11-01 14:02:08,1803,16767
258,22150,2022-11-01 13:46:08,1803,16767
259,16030,2022-11-01 14:08:08,1803,16767
260,93490,2022-11-01 13:29:08,1803,16767
261,18831,2022-11-01 13:18:08,1803,16767
262,48734,2022-11-01 14:05:08,1803,16767
263,42843,2022-10-31 15:52:08,623,13172
264,30463,2022-10-31 16:41:08,623,13172
265,26173,2022-10-31 16:36:08,623,13172
266,33515,2022-10-31 15:53:08,623,13172
267,71668,2022-10-31 16:02:08,623,13172
268,87335,2022-10-31 16:44:08,623,13172
269,80208,2022-10-31 15:56:08,623,13172
270,41234,2022-11-19 04:14:04,595,62249
271,24230,2022-11-19 03:52:04,595,62249
272,27224,2022-11-19 03:27:04,595,62249
273,60408,2022-11-19 04:17:04,595,62249
274,91849,2022-11-19 04:03:04,595,62249
275,385,2022-11-19 03:45:04,595,62249
276,96021,2022-11-19 04:06:04,595,62249
277,78122,2022-11-18 18:00:23,1776,68925
278,53101,2022-11-18 18:17:23,1776,68925
279,95379,2022-11-18 17:48:23,1776,68925
280,98938,2022-11-18 17:40:23,1776,68925
281,92472,2022-11-18 18:37:23,1776,68925
282,11684,2022-11-18 18:12:23,1776,68925
283,79078,2022-11-02 16:31:02,1828,44116
284,60923,2022-11-02 16:36:02,1828,44116
285,32537,2022-11-02 16:19:02,1828,44116
286,65415,2022-11-02 16:46:02,1828,44116
287,75327,2022-11-02 16:24:02,1828,44116
288,26886,2022-11-02 17:11:02,1828,44116
289,7053,2022-11-02 16:35:02,1828,44116
290,63304,2022-11-18 12:16:18,972,10209
291,59257,2022-11-18 12:44:18,972,10209
292,97434,2022-11-18 12:13:18,972,10209
293,13631,2022-11-18 12:36:18,972,10209
294,50230,2022-11-18 12:24:18,972,10209
295,72171,2022-11-18 12:16:18,972,10209
296,1979,2022-11-03 15:57:08,2720,48707
297,10693,2022-11-03 16:02:08,2720,48707
298,84945,2022-11-03 16:04:08,2720,48707
299,96783,2022-11-03 15:19:08,2720,48707
300,48915,2022-11-03 16:02:08,2720,48707
301,15945,2022-11-03 15:48:08,2720,48707
302,72868,2022-11-03 15:36:08,2720,48707
303,21281,2022-11-03 16:08:08,2720,48707
304,53479,2022-11-03 15:41:08,2720,48707
305,99551,2022-11-19 05:51:04,1918,38271
306,39128,2022-11-19 06:17:04,1918,38271
307,95447,2022-11-19 06:25:04,1918,38271
308,30053,2022-11-19 06:34:04,1918,38271
309,76085,2022-11-19 06:06:04,1918,38271
310,46362,2022-11-19 06:17:04,1918,38271
311,37518,2022-11-18 07:49:23,1161,18306
312,19204,2022-11-18 08:20:23,1161,18306
313,20420,2022-11-18 07:26:23,1161,18306
314,30029,2022-11-18 07:32:23,1161,18306
315,91244,2022-11-18 07:41:23,1161,18306
316,38353,2022-11-18 08:00:23,1161,18306
317,11140,2022-11-18 07:35:23,1161,18306
318,83631,2022-11-02 15:33:52,181,29948
319,46527,2022-11-02 16:04:52,181,29948
320,44949,2022-11-02 15:48:52,181,29948
321,32233,2022-11-02 16:08:52,181,29948
322,1140,2022-11-02 16:28:52,181,29948
323,93958,2022-11-02 16:25:52,181,29948
324,20769,2022-11-18 08:47:23,2678,70421
325,44753,2022-11-18 09:04:23,2678,70421
326,30696,2022-11-18 09:10:23,2678,70421
327,40504,2022-11-18 09:09:23,2678,70421
328,7258,2022-11-18 08:36:23,2678,70421
329,23207,2022-11-18 08:23:23,2678,70421
330,16324,2022-11-18 08:56:23,2678,70421
331,85121,2022-11-18 08:59:23,2678,70421
332,63269,2022-11-19 12:42:23,342,93493
333,81728,2022-11-19 13:07:23,342,93493
334,65375,2022-11-19 13:15:23,342,93493
335,9443,2022-11-19 12:22:23,342,93493
336,68933,2022-11-19 13:19:23,342,93493
337,84297,2022-11-19 12:56:23,342,93493
338,35366,2022-11-19 12:36:23,342,93493
339,28876,2022-11-19 12:34:23,342,93493
340,44848,2022-11-19 13:16:23,342,93493
341,62877,2022-11-09 21:37:52,2082,43203
342,34869,2022-11-09 22:02:52,2082,43203
343,39007,2022-11-09 21:35:52,2082,43203
344,23838,2022-11-09 21:35:52,2082,43203
345,85671,2022-11-09 21:40:52,2082,43203
346,41212,2022-11-09 22:12:52,2082,43203
347,21538,2022-11-18 18:02:57,712,35461
348,79344,2022-11-18 18:16:57,712,35461
349,36878,2022-11-18 18:22:57,712,35461
350,837,2022-11-18 18:44:57,712,35461
351,45479,2022-11-18 18:57:57,712,35461
352,30647,2022-11-18 18:33:57,712,35461
353,54278,2022-11-09 14:54:43,206,16752
354,89217,2022-11-09 14:54:43,206,16752
355,64831,2022-11-09 15:19:43,206,16752
356,21420,2022-11-09 15:03:43,206,16752
357,83138,2022-11-09 15:02:43,206,16752
358,24172,2022-11-09 14:53:43,206,16752
359,13493,2022-11-09 15:27:43,206,16752
360,5891,2022-11-09 15:07:43,206,16752
361,28951,2022-11-09 15:35:43,206,16752
362,27735,2022-11-04 10:41:17,385,20167
363,71265,2022-11-04 10:46:17,385,20167
364,49998,2022-11-04 10:56:17,385,20167
365,86010,2022-11-04 10:34:17,385,20167
366,4854,2022-11-04 10:28:17,385,20167
367,74719,2022-11-04 11:21:17,385,20167
368,71114,2022-11-04 10:33:17,385,20167
369,78600,2022-11-04 10:40:17,385,20167
370,21334,2022-11-02 05:15:02,1186,71969
371,9246,2022-11-02 06:04:02,1186,71969
372,17651,2022-11-02 05:22:02,1186,71969
373,95442,2022-11-02 05:18:02,1186,71969
374,9315,2022-11-02 05:11:02,1186,71969
375,87731,2022-11-02 05:20:02,1186,71969
376,43323,2022-11-02 05:56:02,1186,71969
377,94911,2022-11-02 05:26:02,1186,71969
378,8735,2022-11-02 05:58:02,1186,71969
379,41851,2022-11-20 10:45:25,7,99591
380,94562,2022-11-20 10:10:25,7,99591
381,53754,2022-11-20 10:44:25,7,99591
382,47734,2022-11-20 10:56:25,7,99591
383,74112,2022-11-20 10:48:25,7,99591
384,46489,2022-11-20 10:17:25,7,99591
385,91618,2022-11-20 10:36:25,7,99591
386,85630,2022-11-02 16:21:32,2032,14967
387,44795,2022-11-02 16:01:32,2032,14967
388,89282,2022-11-02 15:22:32,2032,14967
389,76396,2022-11-02 15:58:32,2032,14967
390,81180,2022-11-02 15:23:32,2032,14967
391,56522,2022-11-02 15:36:32,2032,14967
392,85406,2022-11-02 15:45:32,2032,14967
393,55409,2022-11-02 15:24:32,2032,14967
394,1250,2022-11-03 05:35:47,2568,33095
395,15337,2022-11-03 05:58:47,2568,33095
396,87347,2022-11-03 05:59:47,2568,33095
397,53015,2022-11-03 05:59:47,2568,33095
398,3752,2022-11-03 06:03:47,2568,33095
399,13849,2022-11-03 05:59:47,2568,33095
400,53230,2022-11-03 05:26:47,2568,33095
401,90667,2022-11-19 00:07:18,2714,70576
402,64103,2022-11-18 23:44:18,2714,70576
403,41322,2022-11-18 23:51:18,2714,70576
404,80098,2022-11-18 23:14:18,2714,70576
405,72816,2022-11-18 23:54:18,2714,70576
406,49516,2022-11-19 00:07:18,2714,70576
407,89789,2022-11-18 23:55:18,2714,70576
408,82936,2022-11-18 23:47:18,2714,70576
409,57731,2022-11-19 00:04:18,2714,70576
410,45347,2022-11-18 15:11:39,318,53415
411,32974,2022-11-18 14:32:39,318,53415
412,47746,2022-11-18 15:09:39,318,53415
413,10357,2022-11-18 14:47:39,318,53415
414,4282,2022-11-18 14:52:39,318,53415
415,26775,2022-11-18 15:14:39,318,53415
416,47839,2022-11-18 14:41:39,318,53415
417,68249,2022-11-09 03:54:02,2042,70044
418,33547,2022-11-09 04:22:02,2042,70044
419,1273,2022-11-09 04:16:02,2042,70044
420,4572,2022-11-09 03:49:02,2042,70044
421,46281,2022-11-09 03:49:02,2042,70044
422,90506,2022-11-09 03:37:02,2042,70044
423,36645,2022-11-09 04:34:02,2042,70044
424,63438,2022-11-09 04:07:02,2042,70044
425,21257,2022-11-03 02:44:59,1169,97002
426,92764,2022-11-03 02:31:59,1169,97002
427,17058,2022-11-03 02:45:59,1169,97002
428,60011,2022-11-03 02:30:59,1169,97002
429,97895,2022-11-03 02:40:59,1169,97002
430,10131,2022-11-03 03:16:59,1169,97002
431,56427,2022-11-03 02:49:59,1169,97002
432,3629,2022-11-01 17:11:32,1127,31510
433,12898,2022-11-01 17:30:32,1127,31510
434,70709,2022-11-01 16:57:32,1127,31510
435,25685,2022-11-01 17:43:32,1127,31510
436,44360,2022-11-01 17:26:32,1127,31510
437,40758,2022-11-01 16:57:32,1127,31510
438,5187,2022-11-01 17:18:32,1127,31510
439,27560,2022-11-01 17:47:32,1127,31510
440,88202,2022-11-01 17:29:32,1127,31510
441,28889,2022-11-09 22:23:28,2592,46213
442,73589,2022-11-09 22:49:28,2592,46213
443,38199,2022-11-09 22:13:28,2592,46213
444,29849,2022-11-09 22:47:28,2592,46213
445,44334,2022-11-09 22:22:28,2592,46213
446,66155,2022-11-09 23:10:28,2592,46213
447,41473,2022-11-09 22:39:28,2592,46213
448,35335,2022-11-09 17:38:43,2774,59984
449,44530,2022-11-09 17:18:43,2774,59984
450,10781,2022-11-09 17:24:43,2774,59984
451,47321,2022-11-09 17:53:43,2774,59984
452,84808,2022-11-09 17:35:43,2774,59984
453,30673,2022-11-09 18:04:43,2774,59984
454,6561,2022-11-09 17:48:43,2774,59984
455,97990,2022-11-09 17:16:43,2774,59984
456,728,2022-11-20 04:23:25,1678,51582
457,69131,2022-11-20 03:58:25,1678,51582
458,52784,2022-11-20 04:21:25,1678,51582
459,20894,2022-11-20 04:27:25,1678,51582
460,8238,2022-11-20 04:02:25,1678,51582
461,14054,2022-11-20 04:03:25,1678,51582
462,14417,2022-11-20 03:36:25,1678,51582
463,5575,2022-11-20 04:01:25,1678,51582
464,1863,2022-11-20 04:16:25,1678,51582
465,12508,2022-11-03 02:50:02,1152,75048
466,91387,2022-11-03 02:45:02,1152,75048
467,35247,2022-11-03 03:02:02,1152,75048
468,8899,2022-11-03 03:11:02,1152,75048
469,92752,2022-11-03 03:12:02,1152,75048
470,11861,2022-11-03 03:28:02,1152,75048
471,82741,2022-11-03 02:38:02,1152,75048
472,41594,2022-11-03 03:31:02,1152,75048
473,14964,2022-11-03 03:28:02,1152,75048
474,34460,2022-11-20 23:11:33,2225,43036
475,17722,2022-11-20 23:56:33,2225,43036
476,23592,2022-11-20 23:48:33,2225,43036
477,49175,2022-11-20 23:34:33,2225,43036
478,38033,2022-11-20 23:29:33,2225,43036
479,91100,2022-11-20 23:35:33,2225,43036
480,78204,2022-11-20 23:43:33,2225,43036
481,55405,2022-11-20 23:29:33,2225,43036
482,78039,2022-11-19 08:07:28,2302,47724
483,99914,2022-11-19 08:10:28,2302,47724
484,5692,2022-11-19 07:40:28,2302,47724
485,72267,2022-11-19 08:27:28,2302,47724
486,90322,2022-11-19 07:55:28,2302,47724
487,68266,2022-11-19 08:28:28,2302,47724
488,56027,2022-11-08 18:09:29,2756,29779
489,56420,2022-11-08 18:00:29,2756,29779
490,92119,2022-11-08 17:55:29,2756,29779
491,5034,2022-11-08 17:49:29,2756,29779
492,2097,2022-11-08 18:04:29,2756,29779
493,31889,2022-11-08 18:04:29,2756,29779
494,8267,2022-11-19 13:23:25,235,36529
495,69017,2022-11-19 12:50:25,235,36529
496,60735,2022-11-19 12:45:25,235,36529
497,92339,2022-11-19 13:07:25,235,36529
498,52830,2022-11-19 13:23:25,235,36529
499,43121,2022-11-19 13:00:25,235,36529
500,13436,2022-11-20 07:47:19,1868,6397
501,60684,2022-11-20 08:31:19,1868,6397
502,60202,2022-11-20 07:41:19,1868,6397
503,44941,2022-11-20 08:24:19,1868,6397
504,91572,2022-11-20 07:41:19,1868,6397
505,75009,2022-11-20 08:04:19,1868,6397
506,61520,2022-11-20 08:20:19,1868,6397
507,11557,2022-11-20 08:36:19,1868,6397
508,86526,2022-11-18 16:33:39,392,83819
509,27946,2022-11-18 16:22:39,392,83819
510,93179,2022-11-18 16:38:39,392,83819
511,56188,2022-11-18 17:00:39,392,83819
512,32966,2022-11-18 16:53:39,392,83819
513,87539,2022-11-18 16:23:39,392,83819
514,17825,2022-11-18 16:18:39,392,83819
515,67494,2022-11-18 16:32:39,392,83819
516,83927,2022-11-18 16:30:39,392,83819
517,38490,2022-11-10 01:04:56,2451,3166
518,99476,2022-11-10 00:46:56,2451,3166
519,7829,2022-11-10 01:07:56,2451,3166
520,37158,2022-11-10 01:35:56,2451,3166
521,56209,2022-11-10 01:21:56,2451,3166
522,45948,2022-11-10 00:44:56,2451,3166
523,13599,2022-11-10 01:04:56,2451,3166
524,12752,2022-11-10 00:39:56,2451,3166
525,17885,2022-11-10 01:12:56,2451,3166
526,3805,2022-11-04 08:16:59,2194,11694
527,23622,2022-11-04 07:41:59,2194,11694
528,39029,2022-11-04 07:53:59,2194,11694
529,72335,2022-11-04 07:51:59,2194,11694
530,97747,2022-11-04 08:16:59,2194,11694
531,81280,2022-11-04 08:07:59,2194,11694
532,35262,2022-11-04 07:37:59,2194,11694
533,40893,2022-11-18 23:07:28,2624,29366
534,69187,2022-11-18 23:18:28,2624,29366
535,87526,2022-11-18 22:46:28,2624,29366
536,41830,2022-11-18 23:20:28,2624,29366
537,9613,2022-11-18 22:23:28,2624,29366
538,79543,2022-11-18 23:18:28,2624,29366
539,81628,2022-11-18 23:16:28,2624,29366
540,12462,2022-11-18 22:57:28,2624,29366
541,64807,2022-11-18 22:53:28,2624,29366
542,69443,2022-11-08 17:10:56,689,42902
543,20187,2022-11-08 17:25:56,689,42902
544,58584,2022-11-08 17:18:56,689,42902
545,71137,2022-11-08 16:56:56,689,42902
546,17441,2022-11-08 16:57:56,689,42902
547,55278,2022-11-08 17:05:56,689,42902
548,5549,2022-11-19 14:32:23,1240,61825
549,1571,2022-11-19 13:45:23,1240,61825
550,76300,2022-11-19 13:59:23,1240,61825
551,54616,2022-11-19 14:28:23,1240,61825
552,52403,2022-11-19 14:10:23,1240,61825
553,32953,2022-11-19 14:03:23,1240,61825
554,5150,2022-11-19 13:51:23,1240,61825
555,83501,2022-11-19 13:42:23,1240,61825
556,71874,2022-11-03 01:00:47,1012,22769
557,22212,2022-11-03 01:10:47,1012,22769
558,68875,2022-11-03 01:19:47,1012,22769
559,5873,2022-11-03 01:21:47,1012,22769
560,18452,2022-11-03 00:45:47,1012,22769
561,73684,2022-11-03 01:00:47,1012,22769
562,34854,2022-11-03 01:14:47,1012,22769
563,63454,2022-11-03 01:03:47,1012,22769
564,92746,2022-11-03 01:30:47,1012,22769
565,29274,2022-11-09 08:29:52,745,40526
566,94403,2022-11-09 08:52:52,745,40526
567,5598,2022-11-09 08:29:52,745,40526
568,98357,2022-11-09 08:33:52,745,40526
569,86917,2022-11-09 09:09:52,745,40526
570,64700,2022-11-09 09:16:52,745,40526
571,65221,2022-11-09 09:13:52,745,40526
572,18148,2022-11-09 08:30:52,745,40526
573,48912,2022-11-09 09:23:52,745,40526
574,89792,2022-11-08 06:23:03,2050,21278
575,4000,2022-11-08 06:10:03,2050,21278
576,40099,2022-11-08 06:13:03,2050,21278
577,93173,2022-11-08 06:17:03,2050,21278
578,23228,2022-11-08 06:00:03,2050,21278
579,73488,2022-11-08 05:39:03,2050,21278
580,19650,2022-11-18 16:42:18,298,78064
581,38836,2022-11-18 16:57:18,298,78064
582,98355,2022-11-18 17:05:18,298,78064
583,75356,2022-11-18 17:10:18,298,78064
584,8730,2022-11-18 17:20:18,298,78064
585,79264,2022-11-18 16:55:18,298,78064
586,51931,2022-11-18 16:59:18,298,78064
587,68976,2022-11-18 16:35:18,298,78064
588,58452,2022-11-02 17:09:32,848,82533
589,79057,2022-11-02 17:21:32,848,82533
